512,0.001,50,120,0.2,1e-08,0.0039224422042025255
256,0.001,50,100,0.2,1e-08,0.003956281188875437
256,0.001,50,150,0.2,1e-08,0.004203289124804239
256,0.001,50,120,0.2,1e-08,0.004257896252286931
512,0.001,50,100,0.2,1e-08,0.004334330133860931
256,0.005,50,120,0.2,1e-08,0.007746499838928382
512,0.005,50,100,0.2,1e-08,0.011419308255426586
512,0.005,50,150,0.2,1e-08,0.012815794348716736
256,0.01,50,100,0.2,1e-08,0.01998753536492586
512,0.01,50,120,0.2,1e-08,0.026015572575852276
512,0.001,50,120,0.2,1e-09,0.0037691142642870545
512,0.001,50,120,0.2,1e-07,0.003951536031672731
512,0.001,50,120,0.2,1e-08,0.004234736954094842
512,0.001,50,120,0.2,1e-06,0.004320260442909785
512,0.001,50,120,0.1,1e-09,0.0038215842796489596
512,0.001,50,120,0.3,1e-09,0.005039333685999736
512,0.001,50,120,0.0,1e-09,0.006364753772504628
512,0.001,50,120,0.4,1e-09,0.006724748079432174
512,0.001,50,120,0.1,1e-09,0.003419108095113188
256,0.001,50,100,0.1,1e-09,0.0035050543940936527
512,0.001,50,100,0.1,1e-09,0.003613035345915705
512,0.001,50,80,0.1,1e-09,0.0037082633934915066
128,0.001,50,100,0.1,1e-09,0.0037203866554873766
256,0.001,50,120,0.1,1e-09,0.003737484469699363
512,0.001,50,150,0.1,1e-09,0.0037616085435729476
256,0.001,50,80,0.1,1e-09,0.0037695829958344492
128,0.001,50,120,0.1,1e-09,0.0037842603882068193
256,0.001,50,150,0.1,1e-09,0.0038302888131390017
128,0.001,50,80,0.1,1e-09,0.0038632859821142304
128,0.005,50,150,0.1,1e-09,0.003966367044004387
128,0.005,50,80,0.1,1e-09,0.004167438493559843
128,0.005,50,100,0.1,1e-09,0.004234419273341011
512,0.005,50,120,0.1,1e-09,0.004516452911775559
256,0.005,50,80,0.1,1e-09,0.004562529868756731
512,0.005,50,80,0.1,1e-09,0.004797684674849733
256,0.005,50,120,0.1,1e-09,0.004839535978001853
512,0.005,50,100,0.1,1e-09,0.004872981910011731
256,0.005,50,150,0.1,1e-09,0.005026679748358826
256,0.005,50,100,0.1,1e-09,0.005415979893878102
128,0.01,50,100,0.1,1e-09,0.005433383718903723
128,0.01,50,80,0.1,1e-09,0.0056468705229204275
128,0.01,50,150,0.1,1e-09,0.005888579164406863
512,0.005,50,150,0.1,1e-09,0.005965858441777527
128,0.01,50,120,0.1,1e-09,0.006045184340649124
512,0.01,50,150,0.1,1e-09,0.006168861989863217
512,0.01,50,100,0.1,1e-09,0.006433469243347645
256,0.01,50,150,0.1,1e-09,0.006704685467605789
256,0.01,50,120,0.1,1e-09,0.007864116467535496
